INVHED_TXNDATE,orders,sale
11/30/2024,2134,4839349.07
12/1/2024,2251,5247154.66
12/2/2024,2091,4968908.19
12/3/2024,2064,4682945.44
12/4/2024,2138,5359260.51
12/5/2024,2160,4611995.24
12/6/2024,2132,4684638.37
12/7/2024,2203,5053484.28
12/8/2024,2227,4969798.88
12/9/2024,1966,4404902.95
12/10/2024,2033,4501402.58
12/11/2024,1768,3928652.74
12/12/2024,1856,4106048.55
12/13/2024,2135,4538533.11
12/14/2024,2439,5188728.8
12/15/2024,2157,4616764.37
12/16/2024,1990,4402115.57
12/17/2024,1925,4040776.31
12/18/2024,1997,4437906.55
12/19/2024,2004,4481398.27
12/20/2024,2135,4712339.25
12/21/2024,2189,4889839.19
12/22/2024,2069,4575306.88
12/23/2024,1928,4477643.17
12/24/2024,2320,5775298.23
12/25/2024,2262,4683987.69
12/26/2024,1955,4306015.53
12/27/2024,1958,4239412.3
12/28/2024,1871,4050526.02
12/29/2024,2062,4543253.69
12/30/2024,1889,4410330.96
12/31/2024,2266,5710189.02
1/1/2025,1729,3425647.14
1/2/2025,1939,4668630.15
1/3/2025,1987,3890195.79
1/4/2025,2075,4779907.89
1/5/2025,2310,5250148.45
1/6/2025,2035,4654935.77
1/7/2025,1989,4472014.41
1/8/2025,1984,4399873.58
1/9/2025,2013,4092004.19
1/10/2025,2028,4166303.66
1/11/2025,2104,4483729.79
1/12/2025,2070,5317948.11
1/13/2025,2231,4058429.22
1/14/2025,2129,4811815.15
1/15/2025,1891,4173334.5
1/16/2025,1809,3870759.96
1/17/2025,1922,4312350.06
1/18/2025,2256,5089963.66
1/19/2025,2238,4767505.15
1/20/2025,1853,4188372.66
1/21/2025,1941,3699232.14
1/22/2025,1989,4229540.43
1/23/2025,1921,4003900.8
1/24/2025,1846,3966577.7
1/25/2025,2295,5219942.85
1/26/2025,2324,5079478.3
1/27/2025,2006,4386105.06
1/28/2025,2064,4537251.85
1/29/2025,2151,4559666.55
1/30/2025,2156,4737490.98
1/31/2025,2124,4792440.53
2/1/2025,2298,5172051.43
2/2/2025,2501,5649963.21
2/3/2025,2169,4788291.01
2/4/2025,2673,5730847.28
2/5/2025,2191,4921380.53
2/6/2025,2220,4736543.31
2/7/2025,2204,4724289.66
2/8/2025,2353,5155663.33
2/9/2025,2486,5692469.2
2/10/2025,2075,4721005.67
2/11/2025,2056,4420303.63
2/12/2025,2820,5969187.25
2/13/2025,2013,4203620.3
2/14/2025,2309,4845448.64
2/15/2025,2469,5384687.89
2/16/2025,2566,5742498.02
2/17/2025,2096,4554839.58
2/18/2025,2196,4602551.19
2/19/2025,2190,4880233.62
2/20/2025,2160,4230263.46
2/21/2025,2116,4237174.15
2/22/2025,2381,5128274.09
2/23/2025,2497,5593015.14
2/24/2025,2244,4679160.69
2/25/2025,2217,4782769.67
2/26/2025,2425,5155102.41
2/27/2025,2145,4696901.52
2/28/2025,2021,4566786.11
3/1/2025,2456,5588069.66
3/2/2025,2166,4799134.28
3/3/2025,1929,4259661.2
3/4/2025,1722,3819710.61
3/5/2025,1919,4671658.22
3/6/2025,1824,3654241.42
3/7/2025,2062,4151117.04
3/8/2025,2318,5074742.32
3/9/2025,2416,5109721.09
3/10/2025,1999,4299272.7
3/11/2025,1893,3326331.37
3/12/2025,2132,4709232.47
3/13/2025,2678,5586117.54
3/14/2025,2107,4176971.48
3/15/2025,2316,4884899.77
3/16/2025,2241,4679388.02
3/17/2025,2157,4422776.53
3/18/2025,2196,4551962.54
3/19/2025,2175,4635705.89
3/20/2025,2266,4694834.11
3/21/2025,2262,4780544.59
3/22/2025,2487,5237629.09
3/23/2025,2549,5401731.92
3/24/2025,2129,4399497.42
3/25/2025,2322,5001882.12
3/26/2025,2316,4875901.7
3/27/2025,2308,4700744.46
3/28/2025,2295,6803307.61
3/29/2025,2585,5703684.86
3/30/2025,2690,5869727.53
3/31/2025,2346,4652997.93
4/1/2025,1790,3735726.6
4/2/2025,1939,4089736.23
4/3/2025,2076,4290623.32
4/4/2025,1687,3686526.81
4/5/2025,2308,5150205.02
4/6/2025,2215,4846341.98
4/7/2025,2102,4624633.8
4/8/2025,2101,4429702.63
4/9/2025,2067,4547600.26
4/10/2025,1992,4208891.66
4/11/2025,2145,4761780.85
4/12/2025,2431,5576932
4/13/2025,2402,5354164.99
4/14/2025,1635,3044748.33
4/15/2025,2117,4335112.35
4/16/2025,2096,4162805.09
4/17/2025,2092,4176073.82
4/18/2025,2133,4284267.83
4/19/2025,2290,4754808.46
4/20/2025,2286,4549067.98
4/21/2025,2122,4353087.61
4/22/2025,2003,4310982.95
4/23/2025,2110,4374527.15
4/24/2025,2004,4026477.96
4/25/2025,2113,4456787.32
4/26/2025,2450,5347699.82
4/27/2025,2443,5279005.6
4/28/2025,2035,4395686.43
4/29/2025,2106,4493728.3
4/30/2025,2175,4861859.08
5/1/2025,2638,5635750.41
5/2/2025,1993,3865513.7
5/3/2025,2241,4841931.34
5/4/2025,2411,5118295.22
5/5/2025,1945,4195042.94
5/6/2025,2203,4349229.52
5/7/2025,2025,4284845.65
5/8/2025,1824,3781095
5/9/2025,2164,4825981.46
5/10/2025,2218,4895070.04
5/11/2025,2242,4921277.67
5/12/2025,1844,3808855.2
5/13/2025,1973,4158912.37
5/14/2025,2205,4934921.52
5/15/2025,1893,3965201.64
5/16/2025,2033,4321163.91
5/17/2025,2175,4559971
5/18/2025,2215,4693619.86
5/19/2025,1837,4104574.78
5/20/2025,1833,3971020.05
5/21/2025,1886,3721262.45
5/22/2025,1862,4758877.05
5/23/2025,1950,4044319.38
5/24/2025,1757,3900729.81
5/25/2025,2264,4904215.12
5/26/2025,1942,4215347.94
5/27/2025,1960,4210925.86
5/28/2025,1933,3966342.34
5/29/2025,1897,3931619.28
5/30/2025,1625,3439407.21
5/31/2025,2268,5026461.25
6/1/2025,2372,5182066.05
6/2/2025,1888,3952126.75
6/3/2025,2011,4304648.55
6/4/2025,2103,4336352.9
6/5/2025,2066,4222551.6
6/6/2025,2065,4321303.95
6/7/2025,2285,4502003.05
6/8/2025,2264,5019453.05
6/9/2025,1974,4221945.1
6/10/2025,1610,3317958.05
6/11/2025,2034,4456220.7
6/12/2025,1989,4152527.85
6/13/2025,1914,3879131.5
6/14/2025,1735,3774129.15
6/15/2025,2314,5139370.55
